Word,Color,Freq,Percentage,Type
Hopeful,Magenta,1,1%,Positive
Hopeful,Light blue,1,1%,Positive
Hopeful,Antique white,1,1%,Positive
Hopeful,Periwinkle,1,1%,Positive
Hopeful,Pale yellow,1,1%,Positive
Hopeful,Brown,1,1%,Positive
Inspired,Yellow,23,23%,Positive
Inspired,White,19,19%,Positive
Inspired,Blue,19,19%,Positive
Inspired,Red,15,15%,Positive
Inspired,Pink,5,5%,Positive
Inspired,Purple,5,5%,Positive
Inspired,Green,4,4%,Positive
Inspired,Orange,2,2%,Positive
Inspired,Lavender,2,2%,Positive
Inspired,Black,1,1%,Positive
Inspired,Violet,1,1%,Positive
Inspired,Gold,1,1%,Positive
Inspired,Light blue,1,1%,Positive
Inspired,Peach,1,1%,Positive
Inspired,Teal,1,1%,Positive
Inspired,Blue-green,1,1%,Positive
Inspired,Baby blue,1,1%,Positive
Joy,Yellow,27,27%,Positive
Joy,Red,21,21%,Positive
Joy,Pink,13,13%,Positive
Joy,Blue,12,12%,Positive
Joy,White,9,9%,Positive
Joy,Green,7,7%,Positive
Joy,Purple,4,4%,Positive
Joy,Orange,4,4%,Positive
Joy,Gold,1,1%,Positive
Joy,Silver,1,1%,Positive
Joy,Turquoise,1,1%,Positive
Joyful,Yellow,37,37%,Positive
Joyful,Blue,26,26%,Positive
Joyful,Red,21,21%,Positive
Joyful,White,6,6%,Positive
Joyful,Pink,3,3%,Positive
Joyful,Green,3,3%,Positive
Joyful,Black,1,1%,Positive
Joyful,Orange,1,1%,Positive
Joyful,Gold,1,1%,Positive
Joyful,Periwinkle,1,1%,Positive
Kind,Yellow,27,26%,Positive
Kind,Blue,20,20%,Positive
Kind,Pink,20,20%,Positive
Kind,Green,13,13%,Positive
Kind,White,8,8%,Positive
Kind,Red,5,5%,Positive
Kind,Purple,4,4%,Positive
Kind,Orange,2,2%,Positive
Kind,Gray,1,1%,Positive
Kind,Charcoal,1,1%,Positive
Kind,Sea foam green,1,1%,Positive
Love,Red,77,76%,Positive
Love,Pink,9,9%,Positive
Love,White,4,4%,Positive
Love,Blue,4,4%,Positive
Love,Yellow,2,2%,Positive
Love,Purple,2,2%,Positive
Love,Green,1,1%,Positive
Love,Orange,1,1%,Positive
Love,Gold,1,1%,Positive
Lust,Red,69,68%,Positive
Lust,Pink,8,8%,Positive
Lust,Black,8,8%,Positive
Lust,Purple,4,4%,Positive
Lust,Yellow,3,3%,Positive
Lust,Orange,2,2%,Positive
Lust,Violet,2,2%,Positive
Lust,White,1,1%,Positive
Lust,Blue,1,1%,Positive
Lust,Green,1,1%,Positive
Lust,Brown,1,1%,Positive
Lust,Dark red,1,1%,Positive
Merry,Red,65,65%,Positive
Merry,Green,13,13%,Positive
Merry,Yellow,10,10%,Positive
Merry,Blue,6,6%,Positive
Merry,Pink,2,2%,Positive
Merry,Gray,1,1%,Positive
Merry,Purple,1,1%,Positive
Merry,Orange,1,1%,Positive
Merry,Salmon,1,1%,Positive
Nice,Yellow,30,29%,Positive
Nice,Blue,24,23%,Positive
Nice,Pink,17,17%,Positive
Nice,White,13,13%,Positive
Nice,Red,5,5%,Positive
Nice,Green,2,2%,Positive
Nice,Purple,2,2%,Positive
Nice,Black,2,2%,Positive
Nice,Gold,2,2%,Positive
Nice,Silver,1,1%,Positive
